title,author,link
몰입 flow,미하이 칙센트미하이,http://www.yes24.com/Product/Goods/1397559
어떻게 공부할 것인가,김아영,http://www.yes24.com/Product/Goods/15341766
1만 시간의 재발견,"안데르스 에릭슨, 로버트 풀",http://www.yes24.com/Product/Goods/29135134
하버드 글쓰기 강의,바버라 베이그,http://www.yes24.com/Product/Goods/5191427
코스모스,칼 세이건,http://www.yes24.com/Product/Goods/2312211
탤런트 코드,대니얼 코일,http://www.yes24.com/Product/Goods/97684576
언스크립티드,엠제이 드마코,http://www.yes24.com/Product/Goods/57958368
백만장자 메신저,브렌든 버처드,http://www.yes24.com/Product/Goods/60512049
다크호스,"토드 로즈, 오기 오가스",http://www.yes24.com/Product/Goods/77251201
마스터리의 법칙,로버트 그린,http://www.yes24.com/Product/Goods/9120825